id,name,names_in_dataset,all_names_in_cluster,name_cluster_id,starts_with,ends_with,is_ongoing,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
519bbd5c-7986-4c7e-a55a-15deef3f12ca,Pyrilia haematotis,Pyrilia haematotis,Pionopsitta haematotis; Pyrilia haematotis,0c11866e-ddec-4553-9aba-4c82708db102,added Pionopsitta haematotis,,no,aou_6 (1983),1983,NA,Brown-hooded Parrot,618,Psittacidae,Caïque à capuchon,Pyrilia,Psittaciformes,species,NA,Pyrilia haematotis,NA,NA,NA,NA,NA,NA,Arinae
8b1c6f19-972b-460f-a4dd-1e35f4ba91d6,Ardea herodias,Ardea herodias,Ardea herodias,041f87e6-cf62-400a-a208-52fd8fee9571,added Ardea herodias,"Ardea herodias + Ardea wardi -> Ardea herodias [lump, aou_2_12 (1903)]",no,aou_1.csv (1886),1886,NA,NA,194,NA,NA,NA,NA,NA,Ardea herodias,NA,NA,NA,NA,NA,NA,NA,NA
e324225e-f33f-4ccc-bea4-0d1c82cb7186,Ardea herodias,Ardea herodias,Ardea herodias,041f87e6-cf62-400a-a208-52fd8fee9571,"Ardea herodias + Ardea wardi -> Ardea herodias [lump, aou_2_12 (1903)]","Ardea herodias + Ardea occidentalis -> Ardea herodias [lump, aou_5_32 (1973)]",no,aou_2_12 (1903),1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3baa7f8b-3ab5-4b39-85ac-794690727999,Ardea herodias,Ardea herodias,Ardea herodias,041f87e6-cf62-400a-a208-52fd8fee9571,"Ardea herodias + Ardea occidentalis -> Ardea herodias [lump, aou_5_32 (1973)]",,no,aou_5_32 (1973),1973,NA,Great Blue Heron,224,Ardeidae,Grand Héron,Ardea,Pelecaniformes,species,Ardea herodias,Ardea herodias,NA,NA,NA,NA,NA,NA,NA
702de410-b557-4286-900c-8083e2a289af,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,7ea3516f-ff13-43de-99f6-7f48680a1f59,"Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]","Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]",no,aou_4 (1931),1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a70a1e04-655e-409e-a891-1616ba5f9b2e,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,7ea3516f-ff13-43de-99f6-7f48680a1f59,"Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]",,no,aou_4 (1931),1931,NA,Brown-crested Flycatcher,1170,Tyrannidae,Tyran de Wied,Myiarchus,Passeriformes,species,Myiarchus tyrannulus,Myiarchus tyrannulus,NA,NA,NA,NA,NA,NA,Tyranninae
fb989dd5-4404-4cf6-bcf3-c8b9d930f903,Plectrophenax hyperboreus,Plectrophenax hyperboreus,Passerina hyperborea; Plectrophenax hyperboreus,9eb2ef9a-be90-4146-b366-c9a7e320e905,added Plectrophenax hyperboreus,,no,aou_1.csv (1886),1886,Monotypic.,McKay's Bunting,1745; 535,Calcariidae,Plectrophane blanc,Plectrophenax,Passeriformes,species,Plectrophenax hyperboreus,Plectrophenax hyperboreus,NA,NA,NA,NA,NA,NA,NA
a27e2a77-78ea-4992-ac7b-77f66ae5379a,Calyptophilus frugivorus,Calyptophilus frugivorus,Calyptophilus frugivorus,8cd24d61-ade7-4ed2-8e83-83dffdeb8fca,added Calyptophilus frugivorus,"Calyptophilus frugivorus -> Calyptophilus tertius + Calyptophilus frugivorus [split, aou_6_41 (1997)]",no,aou_6 (1983),1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8bfffa44-32ff-47d8-bd24-166e75b73df6,Calyptophilus frugivorus,Calyptophilus frugivorus,Calyptophilus frugivorus,8cd24d61-ade7-4ed2-8e83-83dffdeb8fca,"Calyptophilus frugivorus -> Calyptophilus tertius + Calyptophilus frugivorus [split, aou_6_41 (1997)]",,no,aou_6_41 (1997),1997,NA,Eastern Chat-Tanager,1944,Incertae sedis,Tangara cornichon,Calyptophilus,Passeriformes,species,NA,Calyptophilus frugivorus,NA,NA,NA,NA,*,NA,NA
0f5ae9ad-71f2-4633-a9f3-f653c83bf632,Chalybura buffonii,Chalybura buffonii,Chalybura buffonii,39ea29f5-4e1a-4ec7-bb31-c5aff8cdec7f,added Chalybura buffonii,,no,aou_6 (1983),1983,NA,White-vented Plumeleteer,840,Trochilidae,Colibri de Buffon,Chalybura,Apodiformes,species,NA,Chalybura buffonii,NA,NA,NA,NA,NA,NA,Trochilinae
