id,name,names_in_dataset,all_names_in_cluster,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
ca782be4-69c5-4ab5-8b33-e207a6b4b499,Pipilo chlorurus,Pipilo chlorurus,Pipilo chlorurus; Oreospiza chlorura; Oberholseria chlorura; Chlorura chlorura,1,Taxon concept 645c703e-9f45-41c7-8607-46d3c1e20267 containing 'Pipilo chlorurus' and 'Oreospiza chlorura' and 'Oberholseria chlorura' and 'Chlorura chlorura' found between 1886 to 2017 in 8 datasets (part of name cluster ca782be4-69c5-4ab5-8b33-e207a6b4b499),added -> rename -> rename -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Green-tailed Towhee,1686; 590,Emberizidae,Tohi à queue verte,Pipilo,Passeriformes,species,Pipilo chlorurus,Pipilo chlorurus,NA,NA,NA,NA,NA,NA,NA
6a68493f-0e8f-4d65-9c5d-f28caedf9c35,Chen rossii,Chen rossii,Chen rossi; Chen rossii,1,Taxon concept 5a55a7ca-cdc6-4151-8760-e65ad55ee669 containing 'Chen rossii' and 'Chen rossi' found between 1886 to 2017 in 8 datasets (part of name cluster 6a68493f-0e8f-4d65-9c5d-f28caedf9c35),added -> referenced -> rename -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Ross's Goose,18; 170,Anatidae,Oie de Ross,Chen,Anseriformes,species,Chen rossii,Chen rossii,NA,NA,NA,NA,NA,NA,Anserinae
73c95458-6d86-44fd-aa87-f39127aa1a9d,Ardea herodias,Ardea herodias,Ardea herodias,3,Taxon concept d5143e28-0fc4-4abc-becf-9e80b0307ab0 containing 'Ardea herodias' found between 1886 to 1903 in 2 datasets (part of name cluster 73c95458-6d86-44fd-aa87-f39127aa1a9d); Taxon concept be97f12c-c9bc-4d2d-8f33-bc8c07baeda1 containing 'Ardea herodias' found between 1903 to 1973 in 2 datasets (part of name cluster 73c95458-6d86-44fd-aa87-f39127aa1a9d); Taxon concept 3edb9776-959f-404c-9c97-d20d56348fb7 containing 'Ardea herodias' found between 1973 to 2017 in 3 datasets (part of name cluster 73c95458-6d86-44fd-aa87-f39127aa1a9d),added -> lump -> lump -> referenced -> referenced,added -> lump -> lump -> referenced -> referenced,lump -> lump,aou_1.csv (1886),1886,NA,Great Blue Heron,224; 194,Ardeidae,Grand Héron,Ardea,Pelecaniformes,species,Ardea herodias,Ardea herodias,NA,NA,NA,NA,NA,NA,NA
63e91b77-697c-4fa1-93a7-705490a11027,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,2,Taxon concept 43db3095-94c3-492a-a67b-5569071d4fab containing 'Myiarchus tyrannulus' found between 1931 in 1 datasets (part of name cluster 63e91b77-697c-4fa1-93a7-705490a11027); Taxon concept 6813f707-2e17-403c-9134-e9ccbd0756de containing 'Myiarchus tyrannulus' found between 1931 to 2017 in 5 datasets (part of name cluster 63e91b77-697c-4fa1-93a7-705490a11027),lump -> referenced -> referenced -> referenced -> referenced,lump -> referenced -> referenced -> referenced -> referenced,lump,aou_4 (1931),1931,NA,Brown-crested Flycatcher,1170,Tyrannidae,Tyran de Wied,Myiarchus,Passeriformes,species,Myiarchus tyrannulus,Myiarchus tyrannulus,NA,NA,NA,NA,NA,NA,Tyranninae
f0aacc67-946d-49fe-ac04-df983c83ebe3,Plectrophenax hyperboreus,Plectrophenax hyperboreus,Passerina hyperborea; Plectrophenax hyperboreus,1,Taxon concept 71f87d5e-6196-4b9b-ad20-e80c27bb2621 containing 'Passerina hyperborea' and 'Plectrophenax hyperboreus' found between 1886 to 2017 in 9 datasets (part of name cluster f0aacc67-946d-49fe-ac04-df983c83ebe3),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,McKay's Bunting,1745; 535,Calcariidae,Plectrophane blanc,Plectrophenax,Passeriformes,species,Plectrophenax hyperboreus,Plectrophenax hyperboreus,NA,NA,NA,NA,NA,NA,NA
f93a78e2-1a6c-4d77-a34a-04c2718bc135,Anas discors,Anas discors,Querquedula discors; Anas discors,1,Taxon concept 720cba83-bc94-4c69-8a71-4ba259afb953 containing 'Querquedula discors' and 'Anas discors' found between 1886 to 2017 in 5 datasets (part of name cluster f93a78e2-1a6c-4d77-a34a-04c2718bc135),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,"Monotypic. <i>Anas discors orphna</i> recognized by AOU 1957, but validity doubtful.",Blue-winged Teal,140; 42,Anatidae,Sarcelle à ailes bleues,Anas,Anseriformes,species,Anas discors,Anas discors,NA,NA,NA,NA,NA,NA,Anatinae
9243ff75-9602-4ffa-aab6-01cb1e54a7de,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,1,Taxon concept b261446c-9cc2-402f-8ee6-f933b21bedfc containing 'Melanerpes erythrocephalus' found between 1886 to 2017 in 3 datasets (part of name cluster 9243ff75-9602-4ffa-aab6-01cb1e54a7de),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Red-headed Woodpecker,940; 406,Picidae,Pic à tête rouge,Melanerpes,Piciformes,species,Melanerpes erythrocephalus,Melanerpes erythrocephalus,NA,NA,NA,NA,NA,NA,Picinae
e434addf-81a4-4f58-9b44-3008897ac5ca,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,1,Taxon concept 007dea2d-18a6-4790-9a02-723489a07a54 containing 'Sturnus vulgaris' found between 1886 to 2017 in 4 datasets (part of name cluster e434addf-81a4-4f58-9b44-3008897ac5ca),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,European Starling,[493]; 1509,Sturnidae,Étourneau sansonnet,Sturnus,Passeriformes,species,Sturnus vulgaris,Sturnus vulgaris,NA,NA,NA,I,NA,NA,NA
2741bd28-3fdb-4ee8-a0d1-d649c5f7224f,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera; Helminthophila chrysoptera,1,Taxon concept cba85db7-3b87-4a74-83f0-89f45b3e6aad containing 'Helminthophila chrysoptera' and 'Vermivora chrysoptera' found between 1886 to 2017 in 8 datasets (part of name cluster 2741bd28-3fdb-4ee8-a0d1-d649c5f7224f),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Golden-winged Warbler,1534; 642,Parulidae,Paruline à ailes dorées,Vermivora,Passeriformes,species,Vermivora chrysoptera; Helminthophila chrysoptera,Vermivora chrysoptera,NA,NA,NA,NA,NA,NA,NA
4aa3bec6-ea07-46b8-8809-107743be2507,Vermivora bachmanii,Vermivora bachmanii,Helminthophila bachmanii; Vermivora bachmanii; Helminthophila bachmani; Vermivora bachmani,1,Taxon concept 05a00e09-0468-4766-85ec-58fc220ab8ed containing 'Helminthophila bachmani' and 'Helminthophila bachmanii' and 'Vermivora bachmanii' and 'Vermivora bachmani' found between 1886 to 2017 in 11 datasets (part of name cluster 4aa3bec6-ea07-46b8-8809-107743be2507),added -> rename -> rename -> rename -> referenced -> rename -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Bachman's Warbler,640; 1532,Parulidae,Paruline de Bachman,Vermivora,Passeriformes,species,Vermivora bachmanii; Helminthophila bachmani,Vermivora bachmanii,NA,†,NA,NA,NA,NA,NA
