name,code,url,year,type,author_set,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,binomial_count,binomial_count_after_filtering
1st Edition,AOU_1,http://dx.doi.org/10.5962/bhl.title.1538,1886,list with synonyms and habitat,1,Elliott Coues,J. A. Allen,Robert Ridgway,William Brewster,H. W. Henshaw,,,,,,,,,771,771
Supplement 1,AOU_1_01,http://dx.doi.org/10.5962/bhl.title.57136,1889,list with common names,1.1,J. A. Allen,William Brewster,Elliott Coues,C. Hart Merriam,Robert Ridgway,,,,,,,,,794,794
Supplement 2,AOU_1_02,http://sora.unm.edu/node/5185,1890,changes,1.2,J. A. Allen,William Brewster,Elliott Coues,Robert Ridgway,John H. Sage,,,,,,,,,798,798
Supplement 3,AOU_1_03,http://sora.unm.edu/node/5379,1891,changes,2,D. G. Elliot,John H. Sage,J. A. Allen,William Brewster,Elliott Coues,H. W. Henshaw,Robert Ridgway,,,,,,,799,799
Supplement 4,AOU_1_04,http://sora.unm.edu/node/5563,1892,changes,3,D. G. Elliot,J. A. Allen,William Brewster,Frank M. Chapman,Charles B. Cory,Elliott Coues,H. W. Henshaw,C. Hart Merriam,Robert Ridgway,,,,,799,799
Supplement 5,AOU_1_05,http://sora.unm.edu/node/5701,1893,changes,3,Elliott Coues,J. A. Allen,William Brewster,Frank M. Chapman,Charles B. Cory,D. G. Elliot,H. W. Henshaw,C. Hart Merriam,Robert Ridgway,,,,,800,800
Supplement 6,AOU_1_06,http://sora.unm.edu/node/5854,1894,changes,1.1,Elliott Coues,J. A. Allen,William Brewster,C. Hart Merriam,Robert Ridgway,,,,,,,,,800,800
Supplement 7,AOU_1_07,http://sora.unm.edu/node/6076,1895,changes,1.1,Elliott Coues,J. A. Allen,William Brewster,C. Hart Merriam,Robert Ridgway,,,,,,,,,804,804
2nd Edition,AOU_2,http://dx.doi.org/10.5962/bhl.title.13283,1895,list with synonyms and geographical distribution,1,Elliott Coues,J. A. Allen,Robert Ridgway,William Brewster,H. W. Henshaw,,,,,,,,,808,808
Supplement 8,AOU_2_08,http://sora.unm.edu/node/6486,1897,changes,1.1,William Brewster,J. A. Allen,Elliott Coues,C. Hart Merriam,Robert Ridgway,,,,,,,,,816,816
